ma,province,cases
1,Hà_Nội,16027178
2,Hà_Giang,1415071
4,Cao_Bằng,922986
6,Bắc_Kạn,515252
8,Tuyên_Quang,1307942
10,Lào_Cai,1422414
11,Ðiện_Biên,1044643
12,Lai_Châu,787643
14,Sơn_La,1856653
15,Yên_Bái,1625368
17,Hoà_Bình,1571858
19,Thái_Nguyên,2370688
20,Lạng_Sơn,1539823
22,Quảng_Ninh,3064841
24,Bắc_Giang,4026604
25,Phú_Thọ,2738107
26,Vĩnh_Phúc,2374391
27,Bắc_Ninh,3169873
30,Hải_Dương,3382467
31,Hải_Phòng,4537285
33,Hưng_Yên,2373722
34,Thái_Bình,3237025
35,Hà_Nam,1802645
36,Nam_Ðịnh,3055225
37,Ninh_Bình,1793995
38,Thanh_Hóa,6049889
40,Nghệ_An,6259855
42,Hà_Tĩnh,2149949
44,Quảng_Bình,1410002
45,Quảng_Trị,1174110
46,Thừa_Thiên_Huế,2222994
48,Ðà_Nẵng,2577270
49,Quảng_Nam,2922226
51,Quảng_Ngãi,2224386
52,Bình_Ðịnh,2939375
54,Phú_Yên,1659893
56,Khánh_Hòa,2938294
58,Ninh_Thuận,1214874
60,Bình_Thuận,2437424
62,Kon_Tum,921453
64,Gia_Lai,2590952
66,Ðắk_Lắk,3364922
67,Ðắk_Nông,1223930
68,Lâm_Ðồng,2927423
70,Bình_Phước,2029846
72,Tây_Ninh,2565157
74,Bình_Dương,5792367
75,Ðồng_Nai,6071686
77,Bà_Rịa_-_Vũng_Tàu,2653132
79,Hồ_Chí_Minh,16027178
80,Long_An,4369400
82,Tiền_Giang,3778023
83,Bến_Tre,2897251
84,Trà_Vinh,2031051
86,Vĩnh_Long,2317200
87,Ðồng_Tháp,3202055
89,An_Giang,3954236
91,Kiên_Giang,3030096
92,Cần_Thơ,2681823
93,Hậu_Giang,1509954
94,Sóc_Trăng,703917
95,Bạc_Liêu,1652781
96,Cà_Mau,2382037
