stt,province,Number of doses injected
1,Hà N?i,"16,027,178"
2,H? Chí Minh,"20,148,669"
3,Thanh Hóa,"6,049,889"
4,Ngh? An,"6,259,855"
5,??ng Nai,"6,071,686"
6,Bình D??ng,"5,792,367"
7,An Giang,"3,954,236"
8,H?i D??ng,"3,382,467"
9,??k L?k,"3,364,922"
10,Thái Bình,"3,237,025"
11,H?i Phòng,"4,537,285"
12,B?c Giang,"4,026,604"
13,Nam ??nh,"3,055,225"
14,Ti?n Giang,"3,778,023"
15,Kiên Giang,"3,030,096"
16,Long An,"4,369,400"
17,??ng Tháp,"3,202,055"
18,Gia Lai,"2,590,952"
19,Qu?ng Nam,"2,922,226"
20,Bình ??nh,"2,939,375"
21,Phú Th?,"2,738,107"
22,B?c Ninh,"3,169,873"
23,Qu?ng Ninh,"3,064,841"
24,Lâm ??ng,"2,927,423"
25,Hà T?nh,"2,149,949"
26,B?n Tre,"2,897,251"
27,Thái Nguyên,"2,370,688"
28,H?ng Yên,"2,373,722"
29,S?n La,"1,856,653"
30,C?n Th?,"2,681,823"
31,Qu?ng Ngãi,"2,224,386"
32,Khánh Hòa,"2,938,294"
33,Bình Thu?n,"2,437,424"
34,Sóc Tr?ng,"2,703,917"
35,Cà Mau,"2,382,037"
36,Tây Ninh,"2,565,157"
37,V?nh Phúc,"2,374,391"
38,Bà R?a - V?ng Tàu,"2,653,132"
39,?à N?ng,"2,577,270"
40,Th?a Thiên Hu?,"2,222,994"
41,V?nh Long,"2,317,200"
42,Trà Vinh,"2,031,051"
43,Bình Ph??c,"2,029,846"
44,Ninh Bình,"1,793,995"
45,Phú Yên,"1,659,893"
46,B?c Liêu,"1,652,781"
47,Qu?ng Bình,"1,410,002"
48,Hà Giang,"1,415,071"
49,Hoà Bình,"1,571,858"
50,Hà Nam,"1,802,645"
51,Yên Bái,"1,625,368"
52,Tuyên Quang,"1,307,942"
53,L?ng S?n,"1,539,823"
54,H?u Giang,"1,509,954"
55,Lào Cai,"1,422,414"
56,Qu?ng Tr?,"1,174,110"
57,??k Nông,"1,223,930"
58,?i?n Biên,"1,044,643"
59,Ninh Thu?n,"1,214,874"
60,Kon Tum,"921,453"
61,Cao B?ng,"922,986"
62,Lai Châu,"787,643"
63,B?c K?n,"515,252"
