"ma,province,Number of doses injected"
"1,Hà N?i,16027178"
"2,H? Chí Minh,20148669"
"3,Thanh Hóa,6049889"
"4,Ngh? An,6259855"
"5,??ng Nai,6071686"
"6,Bình D??ng,5792367"
"7,An Giang,3954236"
"8,H?i D??ng,3382467"
"9,??k L?k,3364922"
"10,Thái Bình,3237025"
"11,H?i Phòng,4537285"
"12,B?c Giang,4026604"
"13,Nam ??nh,3055225"
"14,Ti?n Giang,3778023"
"15,Kiên Giang,3030096"
"16,Long An,4369400"
"17,??ng Tháp,3202055"
"18,Gia Lai,2590952"
"19,Qu?ng Nam,2922226"
"20,Bình ??nh,2939375"
"21,Phú Th?,2738107"
"22,B?c Ninh,3169873"
"23,Qu?ng Ninh,3064841"
"24,Lâm ??ng,2927423"
"25,Hà T?nh,2149949"
"26,B?n Tre,2897251"
"27,Thái Nguyên,2370688"
"28,H?ng Yên,2373722"
"29,S?n La,1856653"
"30,C?n Th?,2681823"
"31,Qu?ng Ngãi,2224386"
"32,Khánh Hòa,2938294"
"33,Bình Thu?n,2437424"
"34,Sóc Tr?ng,2703917"
"35,Cà Mau,2382037"
"36,Tây Ninh,2565157"
"37,V?nh Phúc,2374391"
"38,Bà R?a - V?ng Tàu,2653132"
"39,?à N?ng,2577270"
"40,Th?a Thiên Hu?,2222994"
"41,V?nh Long,2317200"
"42,Trà Vinh,2031051"
"43,Bình Ph??c,2029846"
"44,Ninh Bình,1793995"
"45,Phú Yên,1659893"
"46,B?c Liêu,1652781"
"47,Qu?ng Bình,1410002"
"48,Hà Giang,1415071"
"49,Hoà Bình,1571858"
"50,Hà Nam,1802645"
"51,Yên Bái,1625368"
"52,Tuyên Quang,1307942"
"53,L?ng S?n,1539823"
"54,H?u Giang,1509954"
"55,Lào Cai,1422414"
"56,Qu?ng Tr?,1174110"
"57,??k Nông,1223930"
"58,?i?n Biên,1044643"
"59,Ninh Thu?n,1214874"
"60,Kon Tum,921453"
"61,Cao B?ng,922986"
"62,Lai Châu,787643"
"63,B?c K?n,515252"
