TT,Tỉnh,Mũi 1 cho người trên 18 tuổi,Mũi 2 cho người trên 18 tuổi,Mũi 3 (Liều nhắc lại) cho người trên 18 tuổi ,Mũi 1 cho người từ 12-17 tuổi,Mũi 2 cho người từ 12-17 tuỏi
1,Hà Nội,6.223.605,5.980.244,3.793.651,697.364,673.153
2,Hải Phòng,1.695.135,1.616.903,327.16,173.451,174.399
3,Thái Bình,1.151.668,1.189.711,265.327,150.029,146.159
4,Nam Định,1.143.086,1.123.657,431.208,158.29,144.105
5,Hà Nam,582.087,572.427,234.836,70.959,69.138
6,Ninh Bình,675.426,668.271,291.584,82.166,78.443
7,Thanh Hoá,2.205.107,2.145.276,445.737,283.435,281.516
8,Bắc Giang,1.305.661,1.288.142,974.036,149.767,149.254
9,Bắc Ninh,1.133.919,1.087.618,364.407,115.527,108.163
10,Phú Thọ,1.000.597,997.763,325.095,124.912,123.397
11,Vĩnh Phúc,790.372,770.851,348.383,114.275,112.331
12,Hải Dương,1.330.192,1.275.595,379.835,157.247,153.881
13,Hưng Yên,820.979,792.189,260.934,110.141,108.368
14,Thái Nguyên,918.015,884.472,142.325,108.213,106.691
15,Bắc Cạn,217.739,216.748,61.452,25.197,23.552
16,Quảng Ninh,1.007.655,972.389,833.415,119.421,110.336
17,Hoà Bình,550.05,517.541,139.565,75.444,71.462
18,Nghệ An,2.005.436,1.998.146,618.628,281.138,267.952
19,Hà Tĩnh,801.478,735.249,128.139,113.667,111.801
20,Lai Châu,255.437,244.613,80.708,53.422,47.874
21,Lạng Sơn,507.083,494.098,410.994,66.528,62.859
22,Tuyên Quang,492.169,487.344,226.936,70.237,67.026
23,Hà Giang,484.714,466.197,188.427,88.264,81.108
24,Cao Bằng,348.816,328.04,88.055,45.534,41.39
25,Yên Bái,514.33,501.302,196.259,78.94,75.56
26,Lào Cai,464.089,450.123,107.023,80.377,74.21
27,Sơn La,735.289,692.004,157.233,140.915,131.368
28,Điện Biên,339.33,313.403,78.612,72.701,58.834
29,Quảng Bình,534.28,517.623,76.645,79.703,68.6
30,Quảng Trị,430.345,414.381,159.545,64.78,60.053
31,TT- Huế,786.314,763.23,237.216,102.409,98.227
32,Tp. Đà Nẵng,862.939,854.869,629.761,100.536,98.437
33,Quảng Nam,1.043.209,1.031.000,188.581,132.605,130.337
34,Quảng,852.585,803.439,249.36,113.371,112.494
35,Bình Định,1.048.371,1.013.327,212.152,140.839,137.737
36,Phú Yên,625.661,597.091,221.408,85.506,80.618
37,Khánh,976.603,950.413,380.324,121.962,116.119
38,Ninh,431.07,401.579,138.789,61,56.142
39,Bình,914.281,884.09,131.228,131.373,124.118
40,Kon Tum,320.495,318.985,67.812,58.967,55.533
41,Gia Lai,996.091,909.696,106.397,167.61,145.125
42,Đắc Lắc,1.256.619,1.196.323,147.902,178.061,164.158
43,Đắk Nông,402.986,398.202,104.066,68.07,65.742
44,TP. HCM,7.388.564,6.647.958,4.045.200,726.915,682.057
45,BR-VT,970.365,896.289,579.432,110.522,109.264
46,Đồng Nai,2.720.724,2.354.013,485.329,284.173,271.486
47,Tiền Giang,1.324.412,1.282.191,627.8,156.236,157.504
48,Long An,1.500.110,1.458.657,1.074.475,171.693,157.117
49,Lâm Đồng,982.227,964.779,215.718,138.827,120.173
50,Tây Ninh,948.628,890.13,487.745,109.061,100.639
51,Cần Thơ,943.856,941.536,242.407,109.292,101.947
52,Sóc Trăng,899.036,865.52,48.563,116.852,111.026
53,An Giang,1.363.514,1.344.335,235.148,203.868,188.833
54,Bến Tre,1.022.819,1.004.718,207.411,106.936,104.03
55,Trà Vinh,698.874,685.171,443.219,98.456,90.955
56,Vĩnh Long,778.289,762.896,303.589,92.004,87.205
57,Đồng Tháp,1.160.481,1.200.662,304.556,157.885,149.14
58,Bình Dương,2.425.661,2.151.907,727.275,191.325,152.826
59,Bình Phước,751.934,719.662,134.786,109.584,100.949
60,Kiên Giang,1.238.102,1.156.203,247.102,166.535,156.962
61,Cà Mau,818.765,808.584,120.02,112.601,111.924
62,Bạc Liêu,568.234,559.387,181.183,88.755,86.057
63,Hậu Giang,531.813,512.146,72.52,74.042,71.613
