location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Vietnam,VNM,2021-03-07,0,0,,,,,0.0,0.0,,,,,
Vietnam,VNM,2021-03-08,377,377,,,377,377,0.0,0.0,,,4,377,0.0
Vietnam,VNM,2021-03-09,522,522,,,145,261,0.0,0.0,,,3,261,0.0
Vietnam,VNM,2021-03-10,955,955,,,433,318,0.0,0.0,,,3,318,0.0
Vietnam,VNM,2021-03-11,1585,1585,,,630,396,0.0,0.0,,,4,396,0.0
Vietnam,VNM,2021-03-12,5248,5248,,,3663,1050,0.01,0.01,,,11,1050,0.001
Vietnam,VNM,2021-03-13,10041,10041,,,4793,1674,0.01,0.01,,,17,1674,0.002
Vietnam,VNM,2021-03-14,11605,11605,,,1564,1658,0.01,0.01,,,17,1658,0.002
Vietnam,VNM,2021-03-15,15865,15865,,,4260,2213,0.02,0.02,,,23,2213,0.002
Vietnam,VNM,2021-03-16,20695,20695,,,4830,2882,0.02,0.02,,,29,2882,0.003
Vietnam,VNM,2021-03-17,24054,24054,,,3359,3300,0.02,0.02,,,34,3300,0.003
Vietnam,VNM,2021-03-18,27546,27546,,,3492,3709,0.03,0.03,,,38,3709,0.004
Vietnam,VNM,2021-03-19,30971,30971,,,3425,3675,0.03,0.03,,,37,3675,0.004
Vietnam,VNM,2021-03-20,32361,32361,,,1390,3189,0.03,0.03,,,32,3189,0.003
Vietnam,VNM,2021-03-21,33891,33891,,,1530,3184,0.03,0.03,,,32,3184,0.003
Vietnam,VNM,2021-03-22,36082,36082,,,2191,2888,0.04,0.04,,,29,2888,0.003
Vietnam,VNM,2021-03-23,37911,37911,,,1829,2459,0.04,0.04,,,25,2459,0.003
Vietnam,VNM,2021-03-24,39817,39817,,,1906,2252,0.04,0.04,,,23,2252,0.002
Vietnam,VNM,2021-03-25,42225,42225,,,2408,2097,0.04,0.04,,,21,2097,0.002
Vietnam,VNM,2021-03-26,44000,44000,,,1775,1861,0.04,0.04,,,19,1861,0.002
Vietnam,VNM,2021-03-27,44278,44278,,,278,1702,0.05,0.05,,,17,1702,0.002
Vietnam,VNM,2021-03-28,45140,45140,,,862,1607,0.05,0.05,,,16,1607,0.002
Vietnam,VNM,2021-03-29,46416,46416,,,1276,1476,0.05,0.05,,,15,1476,0.002
Vietnam,VNM,2021-03-30,48256,48256,,,1840,1478,0.05,0.05,,,15,1478,0.002
Vietnam,VNM,2021-03-31,49743,49743,,,1487,1418,0.05,0.05,,,14,1418,0.001
Vietnam,VNM,2021-04-01,51216,51216,,,1473,1284,0.05,0.05,,,13,1284,0.001
Vietnam,VNM,2021-04-02,52091,52091,,,875,1156,0.05,0.05,,,12,1156,0.001
Vietnam,VNM,2021-04-03,52335,52335,,,244,1151,0.05,0.05,,,12,1151,0.001
Vietnam,VNM,2021-04-04,52413,52413,,,78,1039,0.05,0.05,,,11,1039,0.001
Vietnam,VNM,2021-04-05,52868,52868,,,455,922,0.05,0.05,,,9,922,0.001
Vietnam,VNM,2021-04-06,53953,53953,,,1085,814,0.05,0.05,,,8,814,0.001
Vietnam,VNM,2021-04-07,55151,55151,,,1198,773,0.06,0.06,,,8,773,0.001
Vietnam,VNM,2021-04-08,56359,,,,1208,735,0.06,,,,7,768,0.001
Vietnam,VNM,2021-04-09,58037,58037,,,1678,849,0.06,0.06,,,9,849,0.001
Vietnam,VNM,2021-04-10,58248,58248,,,211,845,0.06,0.06,,,9,845,0.001
Vietnam,VNM,2021-04-11,58418,58418,,,170,858,0.06,0.06,,,9,858,0.001
Vietnam,VNM,2021-04-12,59249,59249,,,831,912,0.06,0.06,,,9,912,0.001
Vietnam,VNM,2021-04-13,60139,60139,,,890,884,0.06,0.06,,,9,884,0.001
Vietnam,VNM,2021-04-14,62028,62028,,,1889,982,0.06,0.06,,,10,982,0.001
Vietnam,VNM,2021-04-15,63758,63758,,,1730,1057,0.06,0.06,,,11,1023,0.001
Vietnam,VNM,2021-04-16,66366,66366,,,2608,1190,0.07,0.07,,,12,1190,0.001
Vietnam,VNM,2021-04-17,67789,67789,,,1423,1363,0.07,0.07,,,14,1363,0.001
Vietnam,VNM,2021-04-18,79182,79182,,,11393,2966,0.08,0.08,,,30,2966,0.003
Vietnam,VNM,2021-04-19,80857,80857,,,1675,3087,0.08,0.08,,,31,3087,0.003
Vietnam,VNM,2021-04-20,106929,106929,,,26072,6684,0.11,0.11,,,68,6684,0.007
Vietnam,VNM,2021-04-21,108897,108897,,,1968,6696,0.11,0.11,,,68,6696,0.007
Vietnam,VNM,2021-04-22,128610,128610,,,19713,9265,0.13,0.13,,,94,9265,0.009
Vietnam,VNM,2021-04-23,176037,176037,,,47427,15667,0.18,0.18,,,160,15667,0.016
Vietnam,VNM,2021-04-24,198972,198972,,,22935,18740,0.2,0.2,,,191,18740,0.019
Vietnam,VNM,2021-04-25,209632,209632,,,10660,18636,0.21,0.21,,,190,18636,0.019
Vietnam,VNM,2021-04-26,259736,259736,,,50104,25554,0.26,0.26,,,260,25554,0.026
Vietnam,VNM,2021-04-27,318792,318792,,,59056,30266,0.32,0.32,,,308,30266,0.031
Vietnam,VNM,2021-04-28,425638,425638,,,106846,45249,0.43,0.43,,,461,45249,0.046
Vietnam,VNM,2021-04-29,506435,506435,,,80797,53975,0.52,0.52,,,550,53975,0.055
Vietnam,VNM,2021-04-30,519262,509855,9407,,12827,49032,0.53,0.52,0.01,,499,47688,0.049
Vietnam,VNM,2021-05-01,,511435,,,,51087,,0.52,,,520,44638,0.045
Vietnam,VNM,2021-05-02,,532247,,,,54895,,0.54,,,559,46088,0.047
Vietnam,VNM,2021-05-03,,539062,,,,53069,,0.55,,,541,39904,0.041
Vietnam,VNM,2021-05-04,,585539,,,,49964,,0.6,,,509,38107,0.039
Vietnam,VNM,2021-05-05,,675956,,,,40031,,0.69,,,408,35760,0.036
Vietnam,VNM,2021-05-06,,747827,,,,33820,,0.76,,,345,34485,0.035
Vietnam,VNM,2021-05-07,,801957,,,,37319,,0.82,,,380,41729,0.043
Vietnam,VNM,2021-05-08,,832635,,,,37319,,0.85,,,380,45886,0.047
Vietnam,VNM,2021-05-09,,851513,,,,37319,,0.87,,,380,45609,0.046
Vietnam,VNM,2021-05-10,892454,,,,,37319,0.91,,,,380,47221,0.048
Vietnam,VNM,2021-05-11,,887705,,,,35529,,0.9,,,362,43167,0.044
Vietnam,VNM,2021-05-12,942030,,,,,33739,0.96,,,,344,33152,0.034
Vietnam,VNM,2021-05-13,959182,,,,17152,30858,0.98,,,,314,25787,0.026
Vietnam,VNM,2021-05-14,969697,948655,21042,,10515,27029,0.99,0.97,0.02,,275,20957,0.021
Vietnam,VNM,2021-05-15,977032,954520,22512,,7335,22745,1.0,0.97,0.02,,232,17412,0.018
Vietnam,VNM,2021-05-16,979238,956677,22561,,2206,17729,1.0,0.97,0.02,,181,15023,0.015
Vietnam,VNM,2021-05-17,,,,,,14695,,,,,150,14286,0.015
Vietnam,VNM,2021-05-18,1011395,982543,28852,,,13450,1.03,1.0,0.03,,137,13548,0.014
Vietnam,VNM,2021-05-19,,,,,,10490,,,,,107,11223,0.011
Vietnam,VNM,2021-05-20,,,,,,8621,,,,,88,8897,0.009
Vietnam,VNM,2021-05-21,,,,,,7699,,,,,78,6572,0.007
Vietnam,VNM,2021-05-22,1027659,998698,28961,,,7232,1.05,1.02,0.03,,74,6311,0.006
Vietnam,VNM,2021-05-23,,,,,,7175,,,,,73,6260,0.006
Vietnam,VNM,2021-05-24,,,,,,5135,,,,,52,4670,0.005
