location,date,people_vaccinated,people_fully_vaccinated,total_boosters
Vietnam,3/7/2021,0,,
Vietnam,3/8/2021,377,,
Vietnam,3/9/2021,522,,
Vietnam,3/10/2021,955,,
Vietnam,3/11/2021,1585,,
Vietnam,3/12/2021,5248,,
Vietnam,3/13/2021,10041,,
Vietnam,3/14/2021,11605,,
Vietnam,3/15/2021,15865,,
Vietnam,3/16/2021,20695,,
Vietnam,3/17/2021,24054,,
Vietnam,3/18/2021,27546,,
Vietnam,3/19/2021,30971,,
Vietnam,3/20/2021,32361,,
Vietnam,3/21/2021,33891,,
Vietnam,3/22/2021,36082,,
Vietnam,3/23/2021,37911,,
Vietnam,3/24/2021,39817,,
Vietnam,3/25/2021,42225,,
Vietnam,3/26/2021,44000,,
Vietnam,3/27/2021,44278,,
Vietnam,3/28/2021,45140,,
Vietnam,3/29/2021,46416,,
Vietnam,3/30/2021,48256,,
Vietnam,3/31/2021,49743,,
Vietnam,4/1/2021,51216,,
Vietnam,4/2/2021,52091,,
Vietnam,4/3/2021,52335,,
Vietnam,4/4/2021,52413,,
Vietnam,4/5/2021,52868,,
Vietnam,4/6/2021,53953,,
Vietnam,4/7/2021,55151,,
Vietnam,4/8/2021,,,
Vietnam,4/9/2021,58037,,
Vietnam,4/10/2021,58248,,
Vietnam,4/11/2021,58418,,
Vietnam,4/12/2021,59249,,
Vietnam,4/13/2021,60139,,
Vietnam,4/14/2021,62028,,
Vietnam,4/15/2021,63758,,
Vietnam,4/16/2021,66366,,
Vietnam,4/17/2021,67789,,
Vietnam,4/18/2021,79182,,
Vietnam,4/19/2021,80857,,
Vietnam,4/20/2021,106929,,
Vietnam,4/21/2021,108897,,
Vietnam,4/22/2021,128610,,
Vietnam,4/23/2021,176037,,
Vietnam,4/24/2021,198972,,
Vietnam,4/25/2021,209632,,
Vietnam,4/26/2021,259736,,
Vietnam,4/27/2021,318792,,
Vietnam,4/28/2021,425638,,
Vietnam,4/29/2021,506435,,
Vietnam,4/30/2021,509855,9407,
Vietnam,5/1/2021,511435,,
Vietnam,5/2/2021,532247,,
Vietnam,5/3/2021,539062,,
Vietnam,5/4/2021,585539,,
Vietnam,5/5/2021,675956,,
Vietnam,5/6/2021,747827,,
Vietnam,5/7/2021,801957,,
Vietnam,5/8/2021,832635,,
Vietnam,5/9/2021,851513,,
Vietnam,5/10/2021,,,
Vietnam,5/11/2021,887705,,
Vietnam,5/12/2021,,,
Vietnam,5/13/2021,,,
Vietnam,5/14/2021,948655,21042,
Vietnam,5/15/2021,954520,22512,
Vietnam,5/16/2021,956677,22561,
Vietnam,5/17/2021,,,
Vietnam,5/18/2021,982543,28852,
Vietnam,5/19/2021,,,
Vietnam,5/20/2021,,,
Vietnam,5/21/2021,,,
Vietnam,5/22/2021,998698,28961,
Vietnam,5/23/2021,,,
Vietnam,5/24/2021,,,
Vietnam,5/25/2021,,,
Vietnam,5/26/2021,1005906,28961,
Vietnam,5/27/2021,,,
Vietnam,5/28/2021,,,
Vietnam,5/29/2021,,,
Vietnam,5/30/2021,,,
Vietnam,5/31/2021,1071497,30602,
Vietnam,6/1/2021,,,
Vietnam,6/2/2021,1078934,31177,
Vietnam,6/3/2021,1124505,31551,
Vietnam,6/4/2021,1185206,32401,
Vietnam,6/5/2021,1209672,33632,
Vietnam,6/6/2021,1214916,33643,
Vietnam,6/7/2021,1301932,38166,
Vietnam,6/8/2021,1312741,42115,
Vietnam,6/9/2021,1342708,47179,
Vietnam,6/10/2021,1361525,50023,
Vietnam,6/11/2021,1392596,53127,
Vietnam,6/12/2021,1399836,54385,
Vietnam,6/13/2021,1443058,55265,
Vietnam,6/14/2021,1493043,59608,
Vietnam,6/15/2021,1584436,63636,
Vietnam,6/16/2021,1700972,72325,
Vietnam,6/17/2021,1901226,89833,
Vietnam,6/18/2021,2127352,105856,
Vietnam,6/19/2021,2244061,115315,
Vietnam,6/20/2021,2300960,121683,
Vietnam,6/21/2021,,,
Vietnam,6/22/2021,2435313,133843,
Vietnam,6/23/2021,2488655,137682,
Vietnam,6/24/2021,2777127,143121,
Vietnam,6/25/2021,2937264,150316,
Vietnam,6/26/2021,3143744,155488,
Vietnam,6/27/2021,3229471,157136,
Vietnam,6/28/2021,3324110,172994,
Vietnam,6/29/2021,3411489,182481,
Vietnam,6/30/2021,3583939,193041,
Vietnam,7/1/2021,3609761,204006,
Vietnam,7/2/2021,3628241,214405,
Vietnam,7/3/2021,3648805,218602,
Vietnam,7/4/2021,3667519,223336,
Vietnam,7/5/2021,3676247,226858,
Vietnam,7/6/2021,3692431,235570,
Vietnam,7/7/2021,3719043,241913,
Vietnam,7/8/2021,3734268,249532,
Vietnam,7/9/2021,3752512,258274,
Vietnam,7/10/2021,3769374,271409,
Vietnam,7/11/2021,3774138,277447,
Vietnam,7/12/2021,3783505,280367,
Vietnam,7/13/2021,3795182,283884,
Vietnam,7/14/2021,3859995,286772,
Vietnam,7/15/2021,3890947,294676,
Vietnam,7/16/2021,3935719,298177,
Vietnam,7/17/2021,3956254,304998,
Vietnam,7/18/2021,3977431,306475,
Vietnam,7/19/2021,3995710,309791,
Vietnam,7/20/2021,4019161,317672,
Vietnam,7/21/2021,4042984,324955,
Vietnam,7/22/2021,4077099,334560,
Vietnam,7/23/2021,4125156,353601,
Vietnam,7/24/2021,4163388,372353,
Vietnam,7/25/2021,4223628,389863,
Vietnam,7/26/2021,4323571,423071,
Vietnam,7/27/2021,4562339,450836,
Vietnam,7/28/2021,4825209,496630,
Vietnam,7/29/2021,4983496,546402,
Vietnam,7/30/2021,5342483,588893,
Vietnam,7/31/2021,5583255,620611,
Vietnam,8/1/2021,5756155,659064,
Vietnam,8/2/2021,6246333,712864,
Vietnam,8/3/2021,6547477,744331,
Vietnam,8/4/2021,6774332,778986,
Vietnam,8/5/2021,7241093,820023,
Vietnam,8/6/2021,7664944,863323,
Vietnam,8/7/2021,8008156,888459,
Vietnam,8/8/2021,8460013,945806,
Vietnam,8/9/2021,8984300,1003287,
Vietnam,8/10/2021,10305762,1036102,
Vietnam,8/11/2021,11006121,1092700,
Vietnam,8/12/2021,12064617,1191855,
Vietnam,8/13/2021,12500947,1271973,
Vietnam,8/14/2021,13078340,1355677,
Vietnam,8/15/2021,13287434,1379274,
Vietnam,8/16/2021,13869728,1401834,
Vietnam,8/17/2021,14032444,1486425,
Vietnam,8/18/2021,14359868,1562669,
Vietnam,8/19/2021,14669827,1636372,
Vietnam,8/20/2021,14787599,1707066,
Vietnam,8/21/2021,15274648,1791248,
Vietnam,8/22/2021,15530221,1834348,
Vietnam,8/23/2021,15725040,1922313,
Vietnam,8/24/2021,16056222,2039251,
Vietnam,8/25/2021,16382658,2139545,
Vietnam,8/26/2021,16607991,2235013,
Vietnam,8/27/2021,16822691,2328431,
Vietnam,8/28/2021,16999888,2431205,
Vietnam,8/29/2021,17186153,2524407,
Vietnam,8/30/2021,17347538,2619186,
Vietnam,8/31/2021,17483818,2726563,
Vietnam,9/1/2021,17660772,2881553,
Vietnam,9/2/2021,17872356,2959122,
Vietnam,9/3/2021,17998754,3047525,
Vietnam,9/4/2021,18246636,3198545,
Vietnam,9/5/2021,18673340,3338783,
Vietnam,9/6/2021,19231238,3444406,
Vietnam,9/7/2021,19809234,3768683,
Vietnam,9/8/2021,20591403,4189782,
Vietnam,9/9/2021,21459102,4467586,
Vietnam,9/10/2021,22367824,4740764,
Vietnam,9/11/2021,23157067,5056325,
Vietnam,9/12/2021,23954248,5326059,
Vietnam,9/13/2021,24727517,5621403,
Vietnam,9/14/2021,25420169,5834687,
Vietnam,9/15/2021,26307653,5988864,
Vietnam,9/16/2021,26821906,6184726,
Vietnam,9/17/2021,27208264,6347095,
Vietnam,9/18/2021,27577472,6517771,
Vietnam,9/19/2021,27913529,6640061,
Vietnam,9/20/2021,28288007,6783707,
Vietnam,9/21/2021,28745680,6930160,
Vietnam,9/22/2021,29094447,7058109,
Vietnam,9/23/2021,29534498,7259412,
Vietnam,9/24/2021,30027703,7555545,
Vietnam,9/25/2021,30420963,7946283,
Vietnam,9/26/2021,30946214,8286558,
Vietnam,9/27/2021,31497967,8597064,
Vietnam,9/28/2021,32171641,8981400,
Vietnam,9/29/2021,32669057,9496111,
Vietnam,9/30/2021,33069709,9818448,
Vietnam,10/1/2021,33532395,10126423,
Vietnam,10/2/2021,34155519,10482392,
Vietnam,10/3/2021,34622194,10873929,
Vietnam,10/4/2021,35355593,11613917,
Vietnam,10/5/2021,35933360,12221677,
Vietnam,10/6/2021,36448527,12806398,
Vietnam,10/7/2021,,,
Vietnam,10/8/2021,37725480,14242628,
Vietnam,10/9/2021,,,
Vietnam,10/10/2021,38698136,15581428,
Vietnam,10/11/2021,39088086,16141038,
Vietnam,10/12/2021,39837150,16493600,
Vietnam,10/13/2021,40654892,16802200,
Vietnam,10/14/2021,41811429,17191810,
Vietnam,10/15/2021,,,
Vietnam,10/16/2021,44070286,17849651,
Vietnam,10/17/2021,45281937,18152243,
Vietnam,10/18/2021,46493751,18498737,
Vietnam,10/19/2021,47997541,19086016,
Vietnam,10/20/2021,49352317,19457563,
Vietnam,10/21/2021,,,
Vietnam,10/22/2021,51157792,20731417,
Vietnam,10/23/2021,51883474,21045837,
Vietnam,10/24/2021,,,
Vietnam,10/25/2021,53125886,,
Vietnam,10/26/2021,53738466,,
Vietnam,10/27/2021,54520772,,
Vietnam,10/28/2021,55578783,,
Vietnam,10/29/2021,56616780,,
Vietnam,10/30/2021,57044159,,
Vietnam,10/31/2021,57332644,,
Vietnam,11/1/2021,58013895,,
Vietnam,11/2/2021,58449622,,
Vietnam,11/3/2021,58807646,,
Vietnam,11/4/2021,59355699,,
Vietnam,11/5/2021,,,
Vietnam,11/6/2021,60845405,,
Vietnam,11/7/2021,,,
Vietnam,11/8/2021,61907563,,
Vietnam,11/9/2021,62806992,,
Vietnam,11/10/2021,,,
Vietnam,11/11/2021,63682168,,
Vietnam,11/12/2021,64073710,,
Vietnam,11/13/2021,64322087,,
Vietnam,11/14/2021,64467940,,
Vietnam,11/15/2021,64767521,,
Vietnam,11/16/2021,65222953,,
Vietnam,11/17/2021,65772961,,
Vietnam,11/18/2021,,,
Vietnam,11/19/2021,66483363,,
Vietnam,11/20/2021,66706890,,
Vietnam,11/21/2021,66916471,,
Vietnam,11/22/2021,67337689,,
Vietnam,11/23/2021,67824005,,
Vietnam,11/24/2021,68490909,,
Vietnam,11/25/2021,68934236,,
Vietnam,11/26/2021,69309495,,
Vietnam,11/27/2021,69747303,,
Vietnam,11/28/2021,70958765,,
Vietnam,11/29/2021,71143392,,
Vietnam,11/30/2021,,,
Vietnam,12/1/2021,72427696,,
Vietnam,12/2/2021,72731280,53224715,
Vietnam,12/3/2021,73155299,,
Vietnam,12/4/2021,,,
Vietnam,12/5/2021,73393169,,
Vietnam,12/6/2021,73663229,,
Vietnam,12/7/2021,73899767,,
Vietnam,12/8/2021,74039917,,
Vietnam,12/9/2021,74647961,56385381,
Vietnam,12/10/2021,74713350,,
Vietnam,12/11/2021,74832161,,
Vietnam,12/12/2021,74907297,,
Vietnam,12/13/2021,,,
Vietnam,12/14/2021,75140181,,
Vietnam,12/15/2021,75215180,,
Vietnam,12/16/2021,,,
Vietnam,12/17/2021,75631255,,
Vietnam,12/18/2021,75697403,,
Vietnam,12/19/2021,,,
Vietnam,12/20/2021,,,
Vietnam,12/21/2021,,,
Vietnam,12/22/2021,,,
Vietnam,12/23/2021,76679502,,
Vietnam,12/24/2021,76881418,,
Vietnam,12/25/2021,77074627,,
Vietnam,12/26/2021,77138616,,
Vietnam,12/27/2021,,,
Vietnam,12/28/2021,77358030,,
Vietnam,12/29/2021,,,
Vietnam,12/30/2021,77555511,68435813,
Vietnam,12/31/2021,,,
Vietnam,1/1/2022,,,
Vietnam,1/2/2022,77796499,,
Vietnam,1/3/2022,77850611,,
Vietnam,1/4/2022,,,
Vietnam,1/5/2022,78110585,,
Vietnam,1/6/2022,78146683,,
Vietnam,1/7/2022,,,
Vietnam,1/8/2022,78247751,,
Vietnam,1/9/2022,78291624,,
Vietnam,1/10/2022,78389408,,
Vietnam,1/11/2022,78413199,,
Vietnam,1/12/2022,,,
Vietnam,1/13/2022,78527765,71946807,
Vietnam,1/14/2022,,,
Vietnam,1/15/2022,,,
Vietnam,1/16/2022,,,
Vietnam,1/17/2022,,,
Vietnam,1/18/2022,,,
Vietnam,1/19/2022,,,
Vietnam,1/20/2022,,,
Vietnam,1/21/2022,,,
Vietnam,1/22/2022,,,
Vietnam,1/23/2022,78894694,,
Vietnam,1/24/2022,78919564,,
Vietnam,1/25/2022,,,
Vietnam,1/26/2022,78987718,,
Vietnam,1/27/2022,,,
Vietnam,1/28/2022,79041734,,
Vietnam,1/29/2022,79055543,,
Vietnam,1/30/2022,79059864,,
Vietnam,1/31/2022,,,
Vietnam,2/1/2022,79078859,,
Vietnam,2/2/2022,79080702,,
Vietnam,2/3/2022,79080967,,
Vietnam,2/4/2022,79080967,74187748,
Vietnam,2/5/2022,,,
Vietnam,2/6/2022,,,
Vietnam,2/7/2022,,,
Vietnam,2/8/2022,79154392,,
Vietnam,2/9/2022,79162150,,
Vietnam,2/10/2022,79166489,76057017,29629103
Vietnam,2/11/2022,79203047,76112928,29938412
Vietnam,2/12/2022,79212013,76162865,30356256
Vietnam,2/13/2022,79216176,76182386,30602565
Vietnam,2/14/2022,,,
Vietnam,2/15/2022,,,
Vietnam,2/16/2022,,,
Vietnam,2/17/2022,,,
Vietnam,2/18/2022,,,
Vietnam,2/19/2022,,,35028147
Vietnam,2/20/2022,,,35300265
Vietnam,2/21/2022,,,35599393
Vietnam,2/22/2022,,,35952404
Vietnam,2/23/2022,,76747997,36467189
Vietnam,2/24/2022,,76764139,36632448
Vietnam,2/25/2022,,76773585,37027220
Vietnam,2/26/2022,,76783305,37146717
Vietnam,2/27/2022,,76799876,37343193
Vietnam,2/28/2022,79373871,77052498,38544133
Vietnam,3/1/2022,79381128,77071397,38856047
Vietnam,3/2/2022,79416167,77095637,39161165
