province,total_doses,dose,over18,12to17,5to11
Hà Nội,18438644,dose1,6234434,706123,145865
Hà Nội,18438644,dose2,6014607,683335,
Hà Nội,18438644,dose3,4436914,,
Hà Giang,1621595,dose1,492137,89616,11182
Hà Giang,1621595,dose2,482299,87609,
Hà Giang,1621595,dose3,245604,,
Cao Bằng,1035839,dose1,351665,46734,11223
Cao Bằng,1035839,dose2,336292,41767,
Cao Bằng,1035839,dose3,173355,,
Bắc Cạn,679702,dose1,218610,26147,7776
Bắc Cạn,679702,dose2,209528,25257,
Bắc Cạn,679702,dose3,177739,,
Tuyên Quang,1583958,dose1,494479,76946,4197
Tuyên Quang,1583958,dose2,491270,75283,
Tuyên Quang,1583958,dose3,355251,,
Lào Cai,1660311,dose1,482548,83235,18831
Lào Cai,1660311,dose2,459955,77676,
Lào Cai,1660311,dose3,278977,,
Điện Biên,1149796,dose1,337457,76484,26073
Điện Biên,1149796,dose2,320684,63854,
Điện Biên,1149796,dose3,92862,,
Lai Châu,886346,dose1,257701,55412,14219
Lai Châu,886346,dose2,248544,50077,
Lai Châu,886346,dose3,151359,,
Sơn La,2311796,dose1,743100,144888,28140
Sơn La,2311796,dose2,715409,135269,
Sơn La,2311796,dose3,542628,,
Yên Bái,1871884,dose1,519607,80872,19867
Yên Bái,1871884,dose2,512105,77361,
Yên Bái,1871884,dose3,396056,,
Hoà Bình,1788557,dose1,561493,77639,4715
Hoà Bình,1788557,dose2,536374,73709,
Hoà Bình,1788557,dose3,306954,,
Thái Nguyên,2802088,dose1,916705,111389,28680
Thái Nguyên,2802088,dose2,888549,108915,
Thái Nguyên,2802088,dose3,526085,,
Lạng Sơn,1607879,dose1,512880,68745,15607
Lạng Sơn,1607879,dose2,506976,63485,
Lạng Sơn,1607879,dose3,440186,,
Quảng Ninh,3192738,dose1,1013444,124328,24082
Quảng Ninh,3192738,dose2,987870,120979,
Quảng Ninh,3192738,dose3,900410,,
Bắc Giang,4181205,dose1,1305661,149985,20844
Bắc Giang,4181205,dose2,1288142,149460,
Bắc Giang,4181205,dose3,1107369,,
Phú Thọ,3181848,dose1,1004997,131870,31650
Phú Thọ,3181848,dose2,1007672,131148,
Phú Thọ,3181848,dose3,581800,,
Vĩnh Phúc,2520978,dose1,796339,118199,10284
Vĩnh Phúc,2520978,dose2,778681,115239,
Vĩnh Phúc,2520978,dose3,459242,,
Bắc Ninh,3519907,dose1,1138744,117485,23964
Bắc Ninh,3519907,dose2,1098835,111579,
Bắc Ninh,3519907,dose3,668782,,
Hải Dương,3882164,dose1,1336461,157247,18337
Hải Dương,3882164,dose2,1295294,155092,
Hải Dương,3882164,dose3,809825,,
Hải Phòng,4711610,dose1,1699550,173649,210
Hải Phòng,4711610,dose2,1627840,174568,
Hải Phòng,4711610,dose3,456392,,
Hưng Yên,2579227,dose1,826764,110591,18514
Hưng Yên,2579227,dose2,803485,,
Hưng Yên,2579227,dose3,400508,,
Thái Bình,3763303,dose1,1163834,154582,31945
Thái Bình,3763303,dose2,1207414,148464,
Thái Bình,3763303,dose3,631062,,
Hà Nam,1926845,dose1,585031,71440,14457
Hà Nam,1926845,dose2,577105,69259,
Hà Nam,1926845,dose3,331816,,
Nam Định,3621099,dose1,1150273,159064,37442
Nam Định,3621099,dose2,1134762,158206,
Nam Định,3621099,dose3,923992,,
Ninh Bình,2267319,dose1,675426,82255,18929
Ninh Bình,2267319,dose2,668271,79446,
Ninh Bình,2267319,dose3,430096,,
Thanh Hoá,7568256,dose1,2205107,288213,50188
Thanh Hoá,7568256,dose2,2145276,283647,
Thanh Hoá,7568256,dose3,1874212,,
Nghệ An,6810858,dose1,2005436,281138,16939
Nghệ An,6810858,dose2,1998146,267952,
Nghệ An,6810858,dose3,1171437,,
Hà Tĩnh,2396015,dose1,806308,114916,9672
Hà Tĩnh,2396015,dose2,760336,113130,
