province,total_doses,age,dose1,dose2,dose3
Hà Nội,18438644,Age 5 to 11,145865,0,0
Hà Nội,18438644,Age 12 to 17,706123,683335,0
Hà Nội,18438644,Age over 18,6234434,6014607,4436914
Hà Giang,1621595,Age 5 to 11,11182,0,0
Hà Giang,1621595,Age 12 to 17,89616,87609,0
Hà Giang,1621595,Age over 18,492137,482299,245604
Cao Bằng,1035839,Age 5 to 11,11223,0,0
Cao Bằng,1035839,Age 12 to 17,46734,41767,0
Cao Bằng,1035839,Age over 18,351665,336292,173355
Bắc Cạn,679702,Age 5 to 11,7776,0,0
Bắc Cạn,679702,Age 12 to 17,26147,25257,0
Bắc Cạn,679702,Age over 18,218610,209528,177739
Tuyên Quang,1583958,Age 5 to 11,4197,0,0
Tuyên Quang,1583958,Age 12 to 17,76946,75283,0
Tuyên Quang,1583958,Age over 18,494479,491270,355251
Lào Cai,1660311,Age 5 to 11,18831,0,0
Lào Cai,1660311,Age 12 to 17,83235,77676,0
Lào Cai,1660311,Age over 18,482548,459955,278977
Điện Biên,1149796,Age 5 to 11,26073,0,0
Điện Biên,1149796,Age 12 to 17,76484,63854,0
Điện Biên,1149796,Age over 18,337457,320684,92862
Lai Châu,886346,Age 5 to 11,14219,0,0
Lai Châu,886346,Age 12 to 17,55412,50077,0
Lai Châu,886346,Age over 18,257701,248544,151359
Sơn La,2311796,Age 5 to 11,28140,0,0
Sơn La,2311796,Age 12 to 17,144888,135269,0
Sơn La,2311796,Age over 18,743100,715409,542628
Yên Bái,1871884,Age 5 to 11,19867,0,0
Yên Bái,1871884,Age 12 to 17,80872,77361,0
Yên Bái,1871884,Age over 18,519607,512105,396056
Hoà Bình,1788557,Age 5 to 11,4715,0,0
Hoà Bình,1788557,Age 12 to 17,77639,73709,0
Hoà Bình,1788557,Age over 18,561493,536374,306954
Thái Nguyên,2802088,Age 5 to 11,28680,0,0
Thái Nguyên,2802088,Age 12 to 17,111389,108915,0
Thái Nguyên,2802088,Age over 18,916705,888549,526085
