ma,province,total_doses,dose1_18andover,dose2_18andover,dose3_18andover,dose1_12to17,dose2_12to17,dose1_5to11,dose2_5to11,population_18andover,population_12to17,population_5to11,the_ratio_of_dose1/population_18andover,the_ratio_of_dose2/population_18andover,the_ratio_of_dose3/population_18andover,the_ratio_of_dose1/population_12to17,the_ratio_of_dose2/population_12to17,the_ratio_of_dose1/population_5to11,the_ratio_of_dose2/population_5to11
1,Hà Nội,18438644,6234434,6014607,4436914,706123,683335,145865,0,5449464,676050,945000,10000%,10000%,8140%,10000%,10000%,1540%,000%
2,Hà Giang,1621595,492137,482299,245604,89616,87609,11182,0,490008,89928,135897,10000%,9840%,5010%,9970%,9740%,820%,000%
4,Cao Bằng,1035839,351665,336292,173355,46734,41767,11223,0,368973,44257,70458,9530%,9110%,4700%,10000%,9440%,1590%,000%
6,Bắc Cạn,679702,218610,209528,177739,26147,25257,7776,0,220169,25202,39755,9930%,9520%,8070%,10000%,10020%,1960%,000%
8,Tuyên Quang,1583958,494479,491270,355251,76946,75283,4197,0,488140,72401,122745,10000%,10000%,7280%,10000%,10000%,340%,000%
10,Lào Cai,1660311,482548,459955,278977,83235,77676,18831,0,445152,79914,114364,10000%,10000%,6270%,10000%,9720%,1650%,000%
11,Điện Biên,1149796,337457,320684,92862,76484,63854,26073,0,339186,67539,99253,9950%,9450%,2740%,10000%,9450%,2630%,000%
12,Lai Châu,886346,257701,248544,151359,55412,50077,14219,0,261410,52540,83177,9860%,9510%,5790%,10000%,9530%,1710%,000%
14,Sơn La,2311796,743100,715409,542628,144888,135269,28140,0,737237,141675,186527,10000%,9700%,7360%,10000%,9550%,1510%,000%
15,Yên Bái,1871884,519607,512105,396056,80872,77361,19867,0,510271,79169,119784,10000%,10000%,7760%,10000%,9770%,1660%,000%
17,Hoà Bình,1788557,561493,536374,306954,77639,73709,4715,0,570146,73734,115613,9850%,9410%,5380%,10000%,10000%,410%,000%
19,Thái Nguyên,2802088,916705,888549,526085,111389,108915,28680,0,918061,107936,166828,9990%,9680%,5730%,10000%,10000%,1720%,000%
20,Lạng Sơn,1607879,512880,506976,440186,68745,63485,15607,0,506403,65750,95009,10000%,10000%,8690%,10000%,9660%,1640%,000%
22,Quảng Ninh,3192738,1013444,987870,900410,124328,120979,24082,0,1020234,121623,151613,9930%,9680%,8830%,10000%,9950%,1590%,000%
24,Bắc Giang,4181205,1305661,1288142,1107369,149985,149460,20844,0,1280197,150059,260234,10000%,10000%,8650%,10000%,9960%,800%,000%
25,Phú Thọ,3181848,1004997,1007672,581800,131870,131148,31650,0,1010520,128757,211047,9950%,9970%,5760%,10000%,10000%,1500%,000%
26,Vĩnh Phúc,2520978,796339,778681,459242,118199,115239,10284,0,789896,115958,172635,10000%,9860%,5810%,10000%,9940%,600%,000%
27,Bắc Ninh,3519907,1138744,1098835,668782,117485,111579,23964,0,1146710,116710,182176,9930%,9580%,5830%,10000%,9560%,1320%,000%
30,Hải Dương,3882164,1336461,1295294,809825,157247,155092,18337,0,1344063,157641,242117,9940%,9640%,6030%,9980%,9840%,760%,000%
31,Hải Phòng,4711610,1699550,1627840,456392,173649,174568,210,0,1442515,168000,206458,10000%,10000%,3160%,10000%,10000%,010%,000%
33,Hưng Yên,2579227,826764,803485,400508,110591,110075,18514,0,826028,112803,161948,10000%,9730%,4850%,9800%,9760%,1140%,000%
34,Thái Bình,3763303,1163834,1207414,631062,154582,148464,31945,0,1245000,150000,200000,9350%,9700%,5070%,10000%,9900%,1600%,000%
35,Hà Nam,1926845,585031,577105,331816,71440,69259,14457,0,612219,72258,108982,9560%,9430%,5420%,9890%,9580%,1330%,000%
36,Nam Định,3621099,1150273,1134762,923992,159064,158206,37442,0,1159000,159266,230518,9920%,9790%,7970%,10000%,9930%,1620%,000%
37,Ninh Bình,2267319,675426,668271,430096,82255,79446,18929,0,665715,81762,123949,10000%,10000%,6460%,10000%,9720%,1530%,000%
38,Thanh Hoá,7568256,2205107,2145276,1874212,288213,283647,50188,0,2204426,285497,469354,10000%,9730%,8500%,10000%,9940%,1070%,000%
40,Nghệ An,6810858,2005436,1998146,1171437,281138,267952,16939,0,1960688,274429,461927,10000%,10000%,5970%,10000%,9760%,370%,000%
42,Hà Tĩnh,2396015,806308,760336,308234,114916,113130,9672,0,795436,115398,181514,10000%,9560%,3880%,9960%,9800%,530%,000%
44,Quảng Bình,1659328,540639,530710,244703,82668,77289,4625,0,541719,79538,112968,9980%,9800%,4520%,10000%,9720%,410%,000%
45,Quảng Trị,1335628,434210,421722,267548,66177,61034,8659,0,453602,65509,74879,9570%,9300%,5900%,10000%,9320%,1160%,000%
46,Thừa Thiên Huế,2478450,787903,769533,407423,105332,100403,21122,0,779911,103142,131214,10000%,9870%,5220%,10000%,9730%,1610%,000%
48,Đà Nẵng,2665402,881445,866509,622453,102158,99989,10439,0,885070,102225,118200,9960%,9790%,7030%,9990%,9780%,880%,000%
49,Quảng Nam,3323737,1086453,1056325,436676,132605,130337,9414,0,1086469,140387,180775,10000%,9720%,4020%,9450%,9280%,520%,000%
51,Quảng Ngãi,2559106,853860,814084,528840,114341,113152,9294,0,852717,114877,146412,10000%,9550%,6200%,9950%,9850%,630%,000%
52,Bình Định,3282159,1055422,1022738,490996,143085,139812,8584,0,1115072,146514,169534,9470%,9170%,4400%,9770%,9540%,510%,000%
54,Phú Yên,1826245,627043,606949,328508,87658,80004,14157,0,649673,85684,105168,9650%,9340%,5060%,10000%,9340%,1350%,000%
56,Khánh Hòa,2952785,980038,954156,366167,123377,117591,14541,0,952940,113857,123242,10000%,10000%,3840%,10000%,10000%,1180%,000%
58,Ninh Thuận,1304895,432691,404795,181081,62104,59430,8558,0,522982,52588,75706,8270%,7740%,3460%,10000%,10000%,1130%,000%
60,Bình Thuận,2599002,915991,889857,228171,132970,124295,14065,0,902470,128964,152935,10000%,9860%,2530%,10000%,10000%,920%,000%
62,Kon Tum,1001924,321753,321906,130746,60178,55973,5468,0,333913,59255,79368,9640%,9640%,3920%,10000%,9450%,690%,000%
64,Gia Lai,2882447,996471,922967,318421,170115,152184,24182,0,950154,166462,212499,10000%,9710%,3350%,10000%,9140%,1140%,000%
66,Đắc Lắc,3722816,1262813,1208476,356355,184965,171551,10140,0,1266098,185763,230749,9970%,9540%,2810%,9960%,9230%,440%,000%
67,Đắk Nông,1361784,403464,399700,186311,68281,66310,16625,0,404872,68824,94245,9970%,9870%,4600%,10000%,9630%,1760%,000%
68,Lâm Đồng,3048851,983684,969337,270379,141973,123328,31660,0,972137,131801,179662,10000%,9970%,2780%,10000%,9360%,1760%,000%
70,Bình Phước,2263824,753676,723821,328414,109872,101037,24775,0,758594,107044,139023,9940%,9540%,4330%,10000%,9440%,1780%,000%
72,Tây Ninh,2616989,948968,897255,521713,109710,101513,5281,0,954662,103358,116688,9940%,9400%,5460%,10000%,9820%,450%,000%
74,Bình Dương,6834780,2634142,2196403,1440424,199855,167983,32184,0,2066553,180024,275081,10000%,10000%,6970%,10000%,9330%,1170%,000%
75,Đồng Nai,7185929,2840333,2746943,765350,298695,274599,78584,0,2489971,292031,440000,10000%,10000%,3070%,10000%,9400%,1790%,000%
77,Bà Rịa - Vũng Tàu,2811451,971107,913900,664784,110539,109284,13162,0,956596,112724,110762,10000%,9550%,6950%,9810%,9690%,1190%,000%
79,Hồ Chí Minh,20701678,7401055,6689934,4271471,735852,686779,233459,0,6690998,808824,898537,10000%,10000%,6380%,9100%,8490%,2600%,000%
80,Long An,4501980,1501827,1465991,1149874,172997,159845,28426,0,1452231,167662,184624,10000%,10000%,7920%,10000%,9530%,1540%,000%
82,Tiền Giang,4048589,1325690,1281884,870645,158487,158833,14731,0,1300609,158524,172983,10000%,9860%,6690%,10000%,10000%,850%,000%
83,Bến Tre,3077262,1024932,1014106,323587,107728,106287,19821,0,1038922,104446,132151,9870%,9760%,3110%,10000%,10000%,1500%,000%
84,Trà Vinh,2133686,698980,685479,521092,98647,94348,20764,0,698227,96275,120411,10000%,9820%,7460%,10000%,9800%,1720%,000%
86,Vĩnh Long,2503545,779428,767461,462056,94177,89326,20386,0,769026,91692,106867,10000%,9980%,6010%,10000%,9740%,1910%,000%
87,Đồng Tháp,3704365,1161677,1220823,606117,159914,142815,26924,0,1245157,159973,178550,9330%,9800%,4870%,10000%,8930%,1510%,000%
89,An Giang,4268624,1378121,1363647,448211,208127,192341,12180,0,1371622,198826,222440,10000%,9940%,3270%,10000%,9670%,550%,000%
91,Kiên Giang,3549700,1238102,1176657,720303,167347,159082,19237,0,1190277,172958,215957,10000%,9890%,6050%,9680%,9200%,890%,000%
92,Cần Thơ,2852608,945449,928450,385646,111688,104367,23923,0,947860,112746,125456,9970%,9800%,4070%,9910%,9260%,1910%,000%
93,Hậu Giang,1620402,533019,515667,156120,74049,71656,12146,0,536163,70270,78567,9940%,9620%,2910%,10000%,10000%,1550%,000%
94,Sóc Trăng,2740769,899036,865520,48563,116852,111026,29261,0,866520,111555,201296,10000%,9990%,560%,10000%,9950%,1450%,000%
