ma,province,total_doses,dose1_18andover,dose2_18andover,dose3_18andover,dose1_12to17,dose2_12to17,dose1_5to11,dose2_5to11,population_18andover,population_12to17,population_5to11,the_ratio_of_dose1/population_18andover,the_ratio_of_dose2/population_18andover,the_ratio_of_dose3/population_18andover,the_ratio_of_dose1/population_12to17,the_ratio_of_dose2/population_12to17,the_ratio_of_dose1/population_5to11,the_ratio_of_dose2/population_5to11
1,Hà Nội,18.438.644,6.234.434,6.014.607,4.436.914,706.123,683.335,145.865,0,5.449.464,676.050,945.000,100.00,100.00,81.40,100.00,100.00,15.40,0.00
2,Hà Giang,1.621.595,492.137,482.299,245.604,89.616,87.609,11.182,0,490.008,89.928,135.897,100.00,98.40,50.10,99.70,97.40,8.20,0.00
4,Cao Bằng,1.035.839,351.665,336.292,173.355,46.734,41.767,11.223,0,368.973,44.257,70.458,95.30,91.10,47.00,100.00,94.40,15.90,0.00
6,Bắc Cạn,679.702,218.610,209.528,177.739,26.147,25.257,7.776,0,220.169,25.202,39.755,99.30,95.20,80.70,100.00,100.20,19.60,0.00
8,Tuyên Quang,1.583.958,494.479,491.270,355.251,76.946,75.283,4.197,0,488.140,72.401,122.745,100.00,100.00,72.80,100.00,100.00,3.40,0.00
10,Lào Cai,1.660.311,482.548,459.955,278.977,83.235,77.676,18.831,0,445.152,79.914,114.364,100.00,100.00,62.70,100.00,97.20,16.50,0.00
11,Điện Biên,1.149.796,337.457,320.684,92.862,76.484,63.854,26.073,0,339.186,67.539,99.253,99.50,94.50,27.40,100.00,94.50,26.30,0.00
12,Lai Châu,886.346,257.701,248.544,151.359,55.412,50.077,14.219,0,261.410,52.540,83.177,98.60,95.10,57.90,100.00,95.30,17.10,0.00
14,Sơn La,2.311.796,743.100,715.409,542.628,144.888,135.269,28.140,0,737.237,141.675,186.527,100.00,97.00,73.60,100.00,95.50,15.10,0.00
15,Yên Bái,1.871.884,519.607,512.105,396.056,80.872,77.361,19.867,0,510.271,79.169,119.784,100.00,100.00,77.60,100.00,97.70,16.60,0.00
17,Hoà Bình,1.788.557,561.493,536.374,306.954,77.639,73.709,4.715,0,570.146,73.734,115.613,98.50,94.10,53.80,100.00,100.00,4.10,0.00
19,Thái Nguyên,2.802.088,916.705,888.549,526.085,111.389,108.915,28.680,0,918.061,107.936,166.828,99.90,96.80,57.30,100.00,100.00,17.20,0.00
20,Lạng Sơn,1.607.879,512.880,506.976,440.186,68.745,63.485,15.607,0,506.403,65.750,95.009,100.00,100.00,86.90,100.00,96.60,16.40,0.00
22,Quảng Ninh,3.192.738,1.013.444,987.870,900.410,124.328,120.979,24.082,0,1.020.234,121.623,151.613,99.30,96.80,88.30,100.00,99.50,15.90,0.00
24,Bắc Giang,4.181.205,1.305.661,1.288.142,1.107.369,149.985,149.460,20.844,0,1.280.197,150.059,260.234,100.00,100.00,86.50,100.00,99.60,8.00,0.00
25,Phú Thọ,3.181.848,1.004.997,1.007.672,581.800,131.870,131.148,31.650,0,1.010.520,128.757,211.047,99.50,99.70,57.60,100.00,100.00,15.00,0.00
26,Vĩnh Phúc,2.520.978,796.339,778.681,459.242,118.199,115.239,10.284,0,789.896,115.958,172.635,100.00,98.60,58.10,100.00,99.40,6.00,0.00
27,Bắc Ninh,3.519.907,1.138.744,1.098.835,668.782,117.485,111.579,23.964,0,1.146.710,116.710,182.176,99.30,95.80,58.30,100.00,95.60,13.20,0.00
30,Hải Dương,3.882.164,1.336.461,1.295.294,809.825,157.247,155.092,18.337,0,1.344.063,157.641,242.117,99.40,96.40,60.30,99.80,98.40,7.60,0.00
31,Hải Phòng,4.711.610,1.699.550,1.627.840,456.392,173.649,174.568,210,0,1.442.515,168.000,206.458,100.00,100.00,31.60,100.00,100.00,0.10,0.00
33,Hưng Yên,2.579.227,826.764,803.485,400.508,110.591,110.075,18.514,0,826.028,112.803,161.948,100.00,97.30,48.50,98.00,97.60,11.40,0.00
34,Thái Bình,3.763.303,1.163.834,1.207.414,631.062,154.582,148.464,31.945,0,1.245.000,150.000,200.000,93.50,97.00,50.70,100.00,99.00,16.00,0.00
35,Hà Nam,1.926.845,585.031,577.105,331.816,71.440,69.259,14.457,0,612.219,72.258,108.982,95.60,94.30,54.20,98.90,95.80,13.30,0.00
36,Nam Định,3.621.099,1.150.273,1.134.762,923.992,159.064,158.206,37.442,0,1.159.000,159.266,230.518,99.20,97.90,79.70,100.00,99.30,16.20,0.00
37,Ninh Bình,2.267.319,675.426,668.271,430.096,82.255,79.446,18.929,0,665.715,81.762,123.949,100.00,100.00,64.60,100.00,97.20,15.30,0.00
38,Thanh Hoá,7.568.256,2.205.107,2.145.276,1.874.212,288.213,283.647,50.188,0,2.204.426,285.497,469.354,100.00,97.30,85.00,100.00,99.40,10.70,0.00
40,Nghệ An,6.810.858,2.005.436,1.998.146,1.171.437,281.138,267.952,16.939,0,1.960.688,274.429,461.927,100.00,100.00,59.70,100.00,97.60,3.70,0.00
42,Hà Tĩnh,2.396.015,806.308,760.336,308.234,114.916,113.130,9.672,0,795.436,115.398,181.514,100.00,95.60,38.80,99.60,98.00,5.30,0.00
44,Quảng Bình,1.659.328,540.639,530.710,244.703,82.668,77.289,4.625,0,541.719,79.538,112.968,99.80,98.00,45.20,100.00,97.20,4.10,0.00
45,Quảng Trị,1.335.628,434.210,421.722,267.548,66.177,61.034,8.659,0,453.602,65.509,74.879,95.70,93.00,59.00,100.00,93.20,11.60,0.00
46,Thừa Thiên Huế,2.478.450,787.903,769.533,407.423,105.332,100.403,21.122,0,779.911,103.142,131.214,100.00,98.70,52.20,100.00,97.30,16.10,0.00
48,Đà Nẵng,2.665.402,881.445,866.509,622.453,102.158,99.989,10.439,0,885.070,102.225,118.200,99.60,97.90,70.30,99.90,97.80,8.80,0.00
49,Quảng Nam,3.323.737,1.086.453,1.056.325,436.676,132.605,130.337,9.414,0,1.086.469,140.387,180.775,100.00,97.20,40.20,94.50,92.80,5.20,0.00
51,Quảng Ngãi,2.559.106,853.860,814.084,528.840,114.341,113.152,9.294,0,852.717,114.877,146.412,100.00,95.50,62.00,99.50,98.50,6.30,0.00
52,Bình Định,3.282.159,1.055.422,1.022.738,490.996,143.085,139.812,8.584,0,1.115.072,146.514,169.534,94.70,91.70,44.00,97.70,95.40,5.10,0.00
54,Phú Yên,1.826.245,627.043,606.949,328.508,87.658,80.004,14.157,0,649.673,85.684,105.168,96.50,93.40,50.60,100.00,93.40,13.50,0.00
56,Khánh Hòa,2.952.785,980.038,954.156,366.167,123.377,117.591,14.541,0,952.940,113.857,123.242,100.00,100.00,38.40,100.00,100.00,11.80,0.00
58,Ninh Thuận,1.304.895,432.691,404.795,181.081,62.104,59.430,8.558,0,522.982,52.588,75.706,82.70,77.40,34.60,100.00,100.00,11.30,0.00
60,Bình Thuận,2.599.002,915.991,889.857,228.171,132.970,124.295,14.065,0,902.470,128.964,152.935,100.00,98.60,25.30,100.00,100.00,9.20,0.00
62,Kon Tum,1.001.924,321.753,321.906,130.746,60.178,55.973,5.468,0,333.913,59.255,79.368,96.40,96.40,39.20,100.00,94.50,6.90,0.00
64,Gia Lai,2.882.447,996.471,922.967,318.421,170.115,152.184,24.182,0,950.154,166.462,212.499,100.00,97.10,33.50,100.00,91.40,11.40,0.00
66,Đắc Lắc,3.722.816,1.262.813,1.208.476,356.355,184.965,171.551,10.140,0,1.266.098,185.763,230.749,99.70,95.40,28.10,99.60,92.30,4.40,0.00
67,Đắk Nông,1.361.784,403.464,399.700,186.311,68.281,66.310,16.625,0,404.872,68.824,94.245,99.70,98.70,46.00,100.00,96.30,17.60,0.00
68,Lâm Đồng,3.048.851,983.684,969.337,270.379,141.973,123.328,31.660,0,972.137,131.801,179.662,100.00,99.70,27.80,100.00,93.60,17.60,0.00
70,Bình Phước,2.263.824,753.676,723.821,328.414,109.872,101.037,24.775,0,758.594,107.044,139.023,99.40,95.40,43.30,100.00,94.40,17.80,0.00
72,Tây Ninh,2.616.989,948.968,897.255,521.713,109.710,101.513,5.281,0,954.662,103.358,116.688,99.40,94.00,54.60,100.00,98.20,4.50,0.00
74,Bình Dương,6.834.780,2.634.142,2.196.403,1.440.424,199.855,167.983,32.184,0,2.066.553,180.024,275.081,100.00,100.00,69.70,100.00,93.30,11.70,0.00
75,Đồng Nai,7.185.929,2.840.333,2.746.943,765.350,298.695,274.599,78.584,0,2.489.971,292.031,440.000,100.00,100.00,30.70,100.00,94.00,17.90,0.00
77,Bà Rịa - Vũng Tàu,2.811.451,971.107,913.900,664.784,110.539,109.284,13.162,0,956.596,112.724,110.762,100.00,95.50,69.50,98.10,96.90,11.90,0.00
79,Hồ Chí Minh,20.701.678,7.401.055,6.689.934,4.271.471,735.852,686.779,233.459,0,6.690.998,808.824,898.537,100.00,100.00,63.80,91.00,84.90,26.00,0.00
80,Long An,4.501.980,1.501.827,1.465.991,1.149.874,172.997,159.845,28.426,0,1.452.231,167.662,184.624,100.00,100.00,79.20,100.00,95.30,15.40,0.00
